Номер вопроса,Вопрос,Шкала,Оценка,Количество,Процент
D1_20,Оцените удобство локаций Академии ,Жилые корпуса,Нормально,3,0.02
D1_20,Оцените удобство локаций Академии ,Жилые корпуса,Требует улучшений,1,0.01
D1_20,Оцените удобство локаций Академии ,Гостевой центр,Идеально,116,0.95
D1_20,Оцените удобство локаций Академии ,Гостевой центр,Нормально,4,0.03
D1_20,Оцените удобство локаций Академии ,Гостевой центр,Требует улучшений,3,0.02
D1_20,Оцените удобство локаций Академии ,Бистро,Идеально,111,0.9
D1_20,Оцените удобство локаций Академии ,Бистро,Нормально,7,0.06
D1_20,Оцените удобство локаций Академии ,Бистро,Требует улучшений,5,0.04
D1_20,Оцените удобство локаций Академии ,Творческие мастерские,Идеально,115,0.9400000000000001
D1_20,Оцените удобство локаций Академии ,Творческие мастерские,Нормально,3,0.02
D1_20,Оцените удобство локаций Академии ,Творческие мастерские,Требует улучшений,5,0.04
D1_20,Оцените удобство локаций Академии ,Территория Академии в целом,Идеально,110,0.9
D1_20,Оцените удобство локаций Академии ,Территория Академии в целом,Нормально,9,0.07
D1_20,Оцените удобство локаций Академии ,Территория Академии в целом,Требует улучшений,4,0.03
D1_21,Оцените сервисы Академии ,Логистика,Идеально,109,0.89
D1_21,Оцените сервисы Академии ,Логистика,Нормально,10,0.08
D1_21,Оцените сервисы Академии ,Логистика,Требует улучшений,4,0.03
D1_21,Оцените сервисы Академии ,Служба безопасности,Идеально,116,0.94
D1_21,Оцените сервисы Академии ,Служба безопасности,Нормально,5,0.04
D1_21,Оцените сервисы Академии ,Служба безопасности,Требует улучшений,2,0.02
D1_21,Оцените сервисы Академии ,Размещение,Идеально,116,0.94
D1_21,Оцените сервисы Академии ,Размещение,Нормально,5,0.04
D1_21,Оцените сервисы Академии ,Размещение,Требует улучшений,2,0.02
D1_21,Оцените сервисы Академии ,Информационная стойка в гостевом центре ,Идеально,112,0.91
D1_21,Оцените сервисы Академии ,Информационная стойка в гостевом центре ,Нормально,7,0.06
D1_21,Оцените сервисы Академии ,Информационная стойка в гостевом центре ,Требует улучшений,4,0.03
D1_21,Оцените сервисы Академии ,Питание в бистро,Идеально,96,0.78
D1_21,Оцените сервисы Академии ,Питание в бистро,Нормально,22,0.18
D1_21,Оцените сервисы Академии ,Питание в бистро,Требует улучшений,5,0.04
D1_22,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Ожидания совпали с реальностью,44,0.3826
D1_22,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Совпали ли ваши ожидания от Академии «Меганом» с реальностью? ,Реальность превзошла ожидания,71,0.6174000000000001
